topic_name|text_seg|count
HERMANOS_ARTESANOS|nuestros hermanos|5
HERMANOS_ARTESANOS|sus hermanos|4
HERMANOS_ARTESANOS|tus níetos|1
HERMANOS_ARTESANOS|vuestros hermanos|2
HERO_TWINS|díxeron|4
HERO_TWINS|ençendíeron|1
HERO_TWINS|los gémelos divinos|1
HERO_TWINS|mançebos|1
HERO_TWINS|pensaban|1
HERO_TWINS|rían|1
HUN_CHOWEN|hun choven|1
HURAKAN|huracan|2
IIXMUKANE|la víeja|1
IKIBALAM|iqui balam|6
IKIBALAM|iquibalam|2
IKIBALAM|íquíbalam|8
IKIBALAM|íquíbam|1
ILOKAB|ilocab|9
ILOKAB|ílocab|9
ILOKAB|ílocb|1
IQUI_BALAM|iqui balam|1
IQUI_BALAM|íquíbalam|1
ISTAYUL|iztayul|1
ISTAYUL|ztayul|3
ISTAYUL|íztayul|1
ISTAYUL_NIJAIB|Ztayul|1
ISTAYUL_NIJAIB|ztayul|1
IXKAKAW_E|xcacauíx|1
IXKIK|Madre|2
IXKIK|Me.Madre|1
IXKIK|don zella|1
IXKIK|donzella|1
IXKIK|donçella|1
IXKIK|ella|3
IXKIK|la don cella|1
IXKIK|la don çella|1
IXKIK|la doncella|1
IXKIK|la donzella|6
IXKIK|la donçella|5
IXKIK|mi híja|1
IXKIK|mí nuera|1
IXKIK|nuera mía|1
IXKIK|su Me.Madre|1
IXKIK|su MeMadre|1
IXKIK|su hija|1
IXKIK|su madre|2
IXKIK|su nuera|1
IXKIK|xquic|3
IXKIK|xquíc|2
IXMUKAME|abuela|1
IXMUKANE|Señora|1
IXMUKANE|Sra. Suegra|1
IXMUKANE|abuela|12
IXMUKANE|amparadores|1
IXMUKANE|dos vezes abuela|1
IXMUKANE|ella|3
IXMUKANE|iyom|1
IXMUKANE|la abuela|1
IXMUKANE|la vieja|3
IXMUKANE|la víeja|23
IXMUKANE|la xmucane|1
IXMUKANE|laVíeja|1
IXMUKANE|nuestra abuela|3
IXMUKANE|su abuela|12
IXMUKANE|vos|1
IXMUKANE|vuestra abuela|5
IXMUKANE|xmuca ne|1
IXMUKANE|xmucane|13
IXQANIL|xcanil|1
IXTOJ|xtoh|1
JAQAWITZ|ha cauíꜩ|1
JAQAWITZ|hacauiꜩ|1
JAQAWITZ|hacauítz|1
JAQAWITZ|hacauíꜩ|13
JAQAWITZ|hacavitz|2
JAQAWITZ|hacaviꜩ|13
JA_SIMAJ|donde todo era palos puntíagudos|1
JA_SIMAJ|ha zimah|1
JUMETA_JA|humetabs|1
JUNAJPU|hun ah pu|1
JUNAJPU|hun ahau|1
JUNAJPU|hun ahpu|52
JUNAJPU|hun nahpu|1
JUNAJPU|hunahpu|7
JUNAJPU_UTIW|hun ahpu vtiu|3
JUNAJPU_UTIW|hun ahpu vtíu|2
JUNAJPU_UTIW|hunahpu vtiu|1
JUNAJPU_UTIW|vn tirador coyote|1
JUNAJPU_WUCH|hun ahpu vuch|5
JUNAJPU_WUCH|hunahpu vuch|1
JUNAJPU_WUCH|vn tirador tacuazín|1
JUNKAME|hun came|1
JUN_BATZ|hun +baꜩ|1
JUN_BATZ|hun batz|5
JUN_BATZ|hun baꜩ|30
JUN_BATZ|hunbatz|1
JUN_BATZ|hunbaꜩ|4
JUN_CHOWEN|hun chouen|26
JUN_CHOWEN|hun choven|8
JUN_CHOWEN|hunchouen|5
JUN_CHOWEN|hun’chuoen|1
JUN_JUNAJPU|díxo|1
JUN_JUNAJPU|hun ahpu|1
JUN_JUNAJPU|hun hun ahpu|3
JUN_JUNAJPU|hun hunahpu|9
JUN_JUNAJPU|hunahpu|1
