topic_id|topic_name
91|JUN_KAME
92|KABRAQAN
93|KAJBAJA
94|KAJOLOM
95|KAQCHIKEL
96|KAQCHIKELEB
97|KAQUILJA_JUN_RAQAN
98|KAWEQ
99|KAWINAL
100|KAWISIMAJ
101|KAWKEB
102|KEEMA
103|KICHE
104|KIKAB
105|KIK_RE
106|KIK_RIXKAQ
107|KOAJAW
108|KOAKUL
109|KOAKUTEK
110|KOCHAJUJ
111|KOKAIB
112|KOKAMEL
113|KOKOSOM
114|KOMAJKUN
115|KONACHE
116|KOTUJA
117|KOTUJA_OCTAVO
118|KOTZIBAJA
119|KOYABAKOJ
120|KUCHUMA_KIK
121|KULBA
122|LOLMET_KEJNAY
123|LOS_DE_LA_BÓVEDA_AZUL
124|LOS_DE_LA_SUPERFICIE_PLANA
125|LUGAR_DE_JAQAWITZ
126|LUGAR_DE_TZUTUJA
127|MAJUKUTAJ
128|MAJUKUTAJ_HOMBRE
129|MAKAMOB
130|MEAWN
131|MEXICO
132|MT.JAQAWITZ
133|NAKXIT
134|NIJAIB
135|NIMA_KAMJA
136|NIMA_LOLMET_YEOLTUX
137|NIM_CHOKOJ_KAWEQ
138|NIM_CHOKOJ_NIJAIB
139|OXIB_KEJ
140|PATAN
141|PA_MAKA
142|PEKUL
143|PETATAYUB
144|PLEYADAS
145|POPOL_WINAQ_CHI_TUY
146|POPOL_WINAQ_PA_JOM_TZALATZ
147|PUSBAL_CHAAJ
148|Q,IQUINAHA
149|QAHOLOM
150|QALEL_ACHIJ
151|QALEL_KAMJA
152|QALEL_SAQIK
153|QAQ_LAQAM
154|QUINAHA
155|QUITZALCUAT
156|QUKUMATZ
157|QUKUMATZ_PERSONA
158|QUMARAQ_AJ
159|RABINAL
160|RABINALEB
161|RAJPOP_ACHIJ
162|RAJTZALAM_ACHIJ
163|RAXA_KAQULJA
164|RIO_DE_SANGRE
165|SANTA_CRUZ
166|SAQIK
167|SAQI_NIM_AQ_SIS
168|SAQKABAJA
169|SAQULEWAB
170|SIPAKNA
171|SUYWA
172|TAMUB
173|TEKUM_TRECEAVA
174|TEPEPUL_TRECEAVA
175|TEPEU_QUKUMATZ
176|TEPEW_OLOMAN
177|TEPEW_QUKUMATZ
178|TINAMIT_KICHE
179|TOH
180|TOJ
181|TOJIL
182|TUJAL_JA
183|TULAN
184|TULÁN
185|TZACOL
186|TZAQOL
187|TZOLOJ_CHE
188|TZOTZIJA
189|TZUTUJA
190|UCHABAJA
191|UCHUCH_KAMJA
192|UKUX_CAJ
193|UKUX_KAJ
194|UKUX_KAJ_UKUX_ULEW
195|UKUX_ULEW
196|UTZAM_ACHIJ
197|VOLCAN_DE_ACATENANGO
198|VOLCAN_DE_FUEGO
199|VUKUB_KAME
200|WAJXAQIB_KAM
201|WINAQ_BALAM
202|WOK
203|WUQUB_AJ
204|WUQUB_JUNAJPU
205|WUQUB_JUNAJPUE
206|WUQUB_KAKIX
207|WUQUB_KAME
208|XBALAMKE
209|XBALANKE
210|XELAJUJ
211|XE_BALAX
212|XE_KAMAQ
213|XIBALBA
214|XIXBAQIYALO
215|XPIYAKOK
216|XULU
217|YAKI_TEPEW
218|YAKOLATAM
219|YAKOLATAM_UTZAM_POP_SAQLATOL
220|YA_XKANUL
221|YOLKWAT
222|mançebos
223|pájaro
224|
